PROGRAMA	NOMBRE	FECHA	TORNEO	HORA	COD	MINIMO	LOCAL	L	E	V	VISITA	LoE	LoV	EoV	1TL	1TE	1TV	2TL	2TE	2TV	L/L	E/L	V/L	L/E	E/E	V/E	L/V	E/V	V/V	-1.5	+1.5	-2.5	+2.5	-3.5	+3.5	0-1	2-3	4+	A	NA	I	P	FLAG	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	BUL	09:30	1328	3	ETAR 1924	1.63	3.32	4.23	MONTANA 1921	1.09	1.18	1.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			bg.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	TUR2	10:00	1225	3	ALTINORDU	3.35	3.15	1.88	SAMSUNSPOR	1.62	1.20	1.18	3.90	1.95	2.40	3.60	2.25	2.15	-	-	-	-	-	-	-	-	-	3.00	1.18	1.60	1.90	1.15	3.20	3.00	1.65	3.20	1.70	1.80			tr.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	KAZ	10:00	1260	3	KAISAR	6.75	4.60	1.27	ASTANA	2.74	1.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			europeanunion.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	CHI2	10:00	1330	3	BARNECHEA	2.30	3.10	2.55	DEPORTES PUERTO MONTT	1.32	1.21	1.40	2.85	1.95	3.15	2.60	2.20	2.90	3.75	5.50	25.00	14.00	4.75	14.00	28.00	6.25	4.25	3.00	1.18	1.65	1.85	1.15	3.20	3.00	1.80	3.20	1.65	1.85			cl.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	LVA	10:00	1332	3	RIGAS FUTBOLA SKOLA	1.15	6.00	9.00	SPARTAKS JURMALA	-	1.02	3.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			europeanunion.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	SAF	10:00	1334	3	CHIPPA UTD	2.40	2.60	2.85	BLOEMFONTEIN CELTIC	1.25	1.30	1.36	3.15	1.75	3.40	2.85	2.00	3.05	4.10	5.50	25.00	14.00	3.90	14.00	25.00	6.00	4.40	2.25	1.35	1.35	2.45	1.03	4.75	2.25	1.68	4.75	1.95	1.55			za.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	SVN	10:00	1335	3	ALUMINIJ	2.25	2.90	2.80	ASK BRAVO	1.27	1.25	1.42	2.60	1.85	3.90	2.35	2.10	3.50	-	-	-	-	-	-	-	-	-	2.75	1.22	1.52	2.00	1.10	3.75	2.75	1.62	3.75	1.82	1.68			europeanunion.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	FIN2	10:30	1336	3	KLUBI 04 HELSINKI	2.80	3.15	2.10	MP MIKKELIN	1.48	1.20	1.26	3.60	2.00	2.45	3.30	2.30	2.25	5.00	7.25	28.00	14.00	5.00	14.00	25.00	4.90	3.00	3.50	1.12	1.85	1.65	1.20	2.85	3.50	1.62	2.85	1.60	1.90			fi.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	CHI2	11:00	1337	3	COBRELOA	1.85	3.14	3.43	SANTIAGO MORNING	1.16	1.20	1.64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			cl.png	
2167	MARTES 18 DE MAYO - PROGRAMA 2167	18/05/2021	CHI2	11:00	1338	3	COPIAPO	2.30	3.05	2.60	MUNICIPAL IQUIQUE	1.31	1.22	1.40	2.90	1.95	3.20	2.60	2.20	2.90	3.75	5.50	25.00	14.00	4.50	14.00	28.00	6.25	4.25	3.00	1.18	1.65	1.85	1.15	3.20	3.00	1.80	3.20	1.62	1.88			cl.png	
